order,name,quantity,price
1,"Натрия хлорид 0,9%, 200 мл, фл",2.000,154.00
2,"Борный спирт 3%, 20 мл, фл.",1.000,51.00
3,"Шприц 2 мл, 3-х комп. (Bioject)",2.000,16.00
4,Система для инфузии Vogt Medical,2.000,60.00
5,Naturella прокладки Классик макси №8,1.000,310.00
6,AURA Ватные диски №150,1.000,461.00
7,Чистая линия скраб мягкий 50 мл,1.000,381.00
8,Чистая линия  скраб очищающийабрикос 50 мл,1.000,386.00
9,Чистая линия скраб мягкий 50 мл,1.000,381.00
10,Carefree салфетки Алоэвоздухопроницаемые №20,1.000,414.00
11,Pro Series Шампунь яркий цвет 500мл,1.000,841.00
12,Pro Series бальзам-ополаскивательдля длител ухода за окрашеннымиволосами Яркий цвет 500мл,1.000,841.00
16,"[RX]-Натрия хлорид 0,9%, 100 мл, фл.",1.000,168.00
17,"[RX]-Дисоль р-р 400 мл, фл.",1.000,163.00
19,"[RX]-Церукал 2%, 2 мл, №10, амп.",2.000,396.00
